age,monthly_income,monthly_expenses,monthly_surplus,savings,existing_investments,monthly_emi,investment_horizon,investment_experience,reaction_to_market_loss,investment_frequency,liquidity_preference,investment_goal,risk_questionnaire_score,risk_profile,savings_ratio,expense_ratio,emi_to_income_ratio,investment_to_income_ratio
30,177000.0,119800.0,0.0,490000,72000.0,89700,13,1,2,RARELY,MEDIUM,WEALTH_CREATION,51.0,LOW,0.23069679849340866,0.6768361581920904,0.5067796610169492,0.03389830508474576
45,35000.0,32200.0,0.0,89000,38000.0,7800,6,3,3,QUARTERLY,MEDIUM,WEALTH_CREATION,89.0,MEDIUM,0.2119047619047619,0.92,0.22285714285714286,0.09047619047619047
62,112000.0,32300.0,65300.0,1742000,268000.0,14400,14,2,1,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,34.0,HIGH,1.2961309523809523,0.2883928571428571,0.12857142857142856,0.19940476190476192
36,54000.0,23600.0,28600.0,317000,126000.0,1800,2,1,2,MONTHLY,MEDIUM,RETIREMENT,47.0,HIGH,0.48919753086419754,0.43703703703703706,0.03333333333333333,0.19444444444444445
49,101000.0,64600.0,31100.0,572000,405000.0,5300,7,4,2,LUMP_SUM,HIGH,WEALTH_CREATION,66.0,HIGH,0.47194719471947194,0.6396039603960396,0.05247524752475247,0.3341584158415842
35,43000.0,24100.0,9200.0,424000,159000.0,9700,10,2,1,MONTHLY,MEDIUM,RETIREMENT,65.0,HIGH,0.8217054263565892,0.5604651162790698,0.2255813953488372,0.3081395348837209
41,146000.0,110200.0,13600.0,2378000,41000.0,22200,21,1,4,MONTHLY,HIGH,TAX_SAVING,63.0,HIGH,1.3573059360730593,0.7547945205479452,0.15205479452054796,0.023401826484018264
53,38000.0,24000.0,7100.0,373000,16000.0,6900,11,2,4,QUARTERLY,MEDIUM,TAX_SAVING,84.0,HIGH,0.8179824561403509,0.631578947368421,0.18157894736842106,0.03508771929824561
24,38000.0,16000.0,16400.0,576000,190000.0,5600,9,3,4,RARELY,MEDIUM,TAX_SAVING,73.0,HIGH,1.263157894736842,0.42105263157894735,0.14736842105263157,0.4166666666666667
57,36000.0,26300.0,3400.0,708000,52000.0,6300,17,1,1,RARELY,MEDIUM,TAX_SAVING,42.0,MEDIUM,1.6388888888888888,0.7305555555555555,0.175,0.12037037037037036
29,41000.0,20100.0,14700.0,283000,75000.0,6200,11,4,4,MONTHLY,MEDIUM,EMERGENCY_FUND,100.0,HIGH,0.5752032520325203,0.4902439024390244,0.15121951219512195,0.1524390243902439
41,54000.0,31700.0,13500.0,660000,211000.0,8800,12,1,3,LUMP_SUM,HIGH,EMERGENCY_FUND,38.0,MEDIUM,1.0185185185185186,0.587037037037037,0.16296296296296298,0.3256172839506173
64,77000.0,38000.0,38300.0,231000,176000.0,700,6,2,2,RARELY,MEDIUM,EMERGENCY_FUND,39.0,LOW,0.25,0.4935064935064935,0.00909090909090909,0.19047619047619047
29,58000.0,29400.0,19400.0,200000,47000.0,9200,2,1,3,MONTHLY,HIGH,WEALTH_CREATION,58.0,MEDIUM,0.28735632183908044,0.506896551724138,0.15862068965517243,0.06752873563218391
43,50000.0,10000.0,32700.0,209000,12000.0,7300,1,2,1,LUMP_SUM,LOW,WEALTH_CREATION,64.0,HIGH,0.34833333333333333,0.2,0.146,0.02
55,99000.0,36100.0,31900.0,1615000,14000.0,31000,5,1,1,MONTHLY,HIGH,RETIREMENT,27.0,MEDIUM,1.3594276094276094,0.36464646464646466,0.31313131313131315,0.011784511784511785
55,89000.0,63900.0,5300.0,1932000,38000.0,19800,9,3,5,RARELY,HIGH,RETIREMENT,68.0,HIGH,1.8089887640449438,0.7179775280898877,0.22247191011235956,0.035580524344569285
64,23000.0,13900.0,2300.0,274000,125000.0,6800,2,1,2,RARELY,MEDIUM,TAX_SAVING,30.0,LOW,0.9927536231884058,0.6043478260869565,0.2956521739130435,0.4528985507246377
31,124000.0,73400.0,40900.0,2223000,110000.0,9700,11,1,1,MONTHLY,LOW,WEALTH_CREATION,41.0,HIGH,1.4939516129032258,0.5919354838709677,0.07822580645161291,0.0739247311827957
24,42000.0,32200.0,0.0,437000,73000.0,11000,3,2,1,MONTHLY,LOW,TAX_SAVING,47.0,MEDIUM,0.8670634920634921,0.7666666666666667,0.2619047619047619,0.14484126984126985
22,110000.0,66700.0,17700.0,1394000,276000.0,25600,17,5,2,LUMP_SUM,MEDIUM,EMERGENCY_FUND,94.0,HIGH,1.0560606060606061,0.6063636363636363,0.23272727272727273,0.20909090909090908
34,60000.0,44700.0,8000.0,1264000,236000.0,7300,10,2,3,RARELY,MEDIUM,WEALTH_CREATION,41.0,HIGH,1.7555555555555555,0.745,0.12166666666666667,0.3277777777777778
29,194000.0,157400.0,25700.0,369000,119000.0,10900,6,2,4,MONTHLY,HIGH,TAX_SAVING,58.0,LOW,0.15850515463917525,0.811340206185567,0.05618556701030928,0.05111683848797251
57,158000.0,145300.0,0.0,1080000,189000.0,17800,11,1,4,LUMP_SUM,LOW,TAX_SAVING,80.0,HIGH,0.569620253164557,0.919620253164557,0.11265822784810127,0.09968354430379747
37,73000.0,63400.0,0.0,1103000,224000.0,10500,20,2,2,MONTHLY,LOW,SHORT_TERM_GOAL,68.0,HIGH,1.2591324200913243,0.8684931506849315,0.14383561643835616,0.2557077625570776
59,45000.0,22300.0,11000.0,103000,12000.0,11700,4,3,1,MONTHLY,HIGH,WEALTH_CREATION,62.0,LOW,0.19074074074074074,0.4955555555555556,0.26,0.022222222222222223
60,111000.0,52900.0,23100.0,1683000,797000.0,35000,14,2,2,LUMP_SUM,MEDIUM,EMERGENCY_FUND,45.0,HIGH,1.2635135135135136,0.4765765765765766,0.3153153153153153,0.5983483483483484
39,38000.0,20300.0,11800.0,836000,68000.0,5900,14,4,4,LUMP_SUM,MEDIUM,TAX_SAVING,88.0,HIGH,1.8333333333333333,0.5342105263157895,0.15526315789473685,0.14912280701754385
45,74000.0,62200.0,11000.0,2117000,779000.0,800,13,2,1,MONTHLY,MEDIUM,RETIREMENT,45.0,HIGH,2.384009009009009,0.8405405405405405,0.010810810810810811,0.8772522522522522
42,66000.0,59800.0,0.0,180000,68000.0,22400,5,5,4,MONTHLY,HIGH,WEALTH_CREATION,100.0,MEDIUM,0.22727272727272727,0.906060606060606,0.3393939393939394,0.08585858585858586
54,44000.0,35100.0,1500.0,331000,50000.0,7400,3,3,3,LUMP_SUM,MEDIUM,TAX_SAVING,75.0,MEDIUM,0.6268939393939394,0.7977272727272727,0.16818181818181818,0.0946969696969697
23,101000.0,60900.0,25200.0,89000,8000.0,14900,17,2,4,RARELY,HIGH,WEALTH_CREATION,69.0,HIGH,0.07343234323432343,0.602970297029703,0.14752475247524752,0.006600660066006601
39,60000.0,27900.0,18800.0,2705000,908000.0,13300,14,1,2,MONTHLY,LOW,WEALTH_CREATION,52.0,HIGH,3.7569444444444446,0.465,0.22166666666666668,1.261111111111111
30,201000.0,132100.0,45100.0,2418000,562000.0,23800,5,1,3,RARELY,HIGH,SHORT_TERM_GOAL,41.0,LOW,1.0024875621890548,0.6572139303482587,0.11840796019900497,0.2330016583747927
60,144000.0,90700.0,24500.0,2659000,1163000.0,28800,10,1,4,RARELY,MEDIUM,EMERGENCY_FUND,55.0,HIGH,1.5387731481481481,0.6298611111111111,0.2,0.6730324074074074
63,56000.0,35600.0,0.0,361000,18000.0,28300,5,1,1,MONTHLY,LOW,RETIREMENT,56.0,LOW,0.5372023809523809,0.6357142857142857,0.5053571428571428,0.026785714285714284
61,112000.0,101700.0,0.0,873000,196000.0,36700,3,4,3,LUMP_SUM,HIGH,RETIREMENT,76.0,LOW,0.6495535714285714,0.9080357142857143,0.32767857142857143,0.14583333333333334
43,83000.0,76300.0,0.0,3865000,163000.0,19800,8,2,2,MONTHLY,HIGH,EMERGENCY_FUND,46.0,HIGH,3.8805220883534135,0.9192771084337349,0.2385542168674699,0.1636546184738956
59,68000.0,19800.0,45300.0,452000,245000.0,2900,1,4,5,QUARTERLY,HIGH,WEALTH_CREATION,82.0,HIGH,0.553921568627451,0.2911764705882353,0.04264705882352941,0.3002450980392157
51,69000.0,50700.0,12200.0,999000,168000.0,6100,11,1,2,LUMP_SUM,MEDIUM,SHORT_TERM_GOAL,48.0,LOW,1.2065217391304348,0.7347826086956522,0.08840579710144927,0.2028985507246377
44,64000.0,33700.0,18300.0,971000,56000.0,12000,10,1,5,LUMP_SUM,LOW,TAX_SAVING,78.0,HIGH,1.2643229166666667,0.5265625,0.1875,0.07291666666666667
43,168000.0,89500.0,69100.0,938000,249000.0,9400,14,4,5,LUMP_SUM,MEDIUM,WEALTH_CREATION,81.0,HIGH,0.4652777777777778,0.5327380952380952,0.055952380952380955,0.12351190476190477
25,48000.0,19800.0,17800.0,944000,268000.0,10400,13,1,4,QUARTERLY,LOW,TAX_SAVING,57.0,HIGH,1.6388888888888888,0.4125,0.21666666666666667,0.4652777777777778
43,98000.0,81500.0,4800.0,766000,475000.0,11700,11,2,2,MONTHLY,HIGH,WEALTH_CREATION,57.0,HIGH,0.6513605442176871,0.8316326530612245,0.11938775510204082,0.4039115646258503
53,100000.0,84600.0,6300.0,303000,173000.0,9100,20,2,2,MONTHLY,HIGH,WEALTH_CREATION,61.0,MEDIUM,0.2525,0.846,0.091,0.14416666666666667
61,88000.0,56200.0,11100.0,1547000,305000.0,20700,9,5,1,MONTHLY,HIGH,WEALTH_CREATION,66.0,HIGH,1.464962121212121,0.6386363636363637,0.23522727272727273,0.28882575757575757
61,73000.0,54500.0,14100.0,592000,225000.0,4400,9,5,1,LUMP_SUM,MEDIUM,WEALTH_CREATION,71.0,HIGH,0.6757990867579908,0.7465753424657534,0.06027397260273973,0.2568493150684932
32,55000.0,25400.0,23300.0,68000,36000.0,6300,6,4,1,RARELY,HIGH,EMERGENCY_FUND,45.0,MEDIUM,0.10303030303030303,0.4618181818181818,0.11454545454545455,0.05454545454545454
21,86000.0,60600.0,13200.0,1853000,431000.0,12200,4,3,3,MONTHLY,LOW,SHORT_TERM_GOAL,97.0,HIGH,1.7955426356589148,0.7046511627906977,0.14186046511627906,0.4176356589147287
40,60000.0,42700.0,0.0,2019000,447000.0,18900,7,1,3,QUARTERLY,LOW,RETIREMENT,62.0,HIGH,2.8041666666666667,0.7116666666666667,0.315,0.6208333333333333
28,172000.0,98100.0,53100.0,1935000,447000.0,20800,12,1,2,MONTHLY,HIGH,WEALTH_CREATION,34.0,HIGH,0.9375,0.5703488372093023,0.12093023255813953,0.21656976744186046
53,24000.0,12500.0,9400.0,108000,5000.0,2100,8,5,5,LUMP_SUM,MEDIUM,WEALTH_CREATION,99.0,HIGH,0.375,0.5208333333333334,0.0875,0.017361111111111112
62,36000.0,14900.0,3600.0,266000,16000.0,17500,7,5,1,RARELY,MEDIUM,RETIREMENT,62.0,MEDIUM,0.6157407407407407,0.41388888888888886,0.4861111111111111,0.037037037037037035
50,40000.0,28400.0,5300.0,1241000,88000.0,6300,21,2,1,LUMP_SUM,HIGH,EMERGENCY_FUND,41.0,HIGH,2.5854166666666667,0.71,0.1575,0.18333333333333332
65,117000.0,49200.0,62400.0,1033000,502000.0,5400,3,2,1,MONTHLY,MEDIUM,RETIREMENT,64.0,HIGH,0.7357549857549858,0.4205128205128205,0.046153846153846156,0.3575498575498576
52,92000.0,57200.0,23800.0,2220000,339000.0,11000,3,4,1,MONTHLY,MEDIUM,WEALTH_CREATION,64.0,HIGH,2.010869565217391,0.6217391304347826,0.11956521739130435,0.3070652173913043
54,108000.0,41300.0,30600.0,784000,47000.0,36100,14,5,5,QUARTERLY,LOW,EMERGENCY_FUND,100.0,HIGH,0.6049382716049383,0.3824074074074074,0.33425925925925926,0.036265432098765434
34,72000.0,50900.0,10700.0,532000,97000.0,10400,15,2,4,RARELY,MEDIUM,RETIREMENT,60.0,HIGH,0.6157407407407407,0.7069444444444445,0.14444444444444443,0.11226851851851852
23,59000.0,26700.0,6800.0,827000,83000.0,25500,6,1,1,MONTHLY,LOW,RETIREMENT,69.0,HIGH,1.1680790960451977,0.45254237288135596,0.4322033898305085,0.1172316384180791
45,39000.0,26800.0,2700.0,747000,101000.0,9500,4,2,2,RARELY,HIGH,EMERGENCY_FUND,43.0,MEDIUM,1.5961538461538463,0.6871794871794872,0.24358974358974358,0.21581196581196582
38,94000.0,74400.0,0.0,1335000,72000.0,28000,8,1,2,QUARTERLY,HIGH,RETIREMENT,32.0,MEDIUM,1.1835106382978724,0.7914893617021277,0.2978723404255319,0.06382978723404255
27,111000.0,77900.0,3600.0,1766000,531000.0,29500,22,2,2,LUMP_SUM,MEDIUM,WEALTH_CREATION,47.0,HIGH,1.3258258258258258,0.7018018018018019,0.26576576576576577,0.39864864864864863
23,69000.0,28300.0,30400.0,329000,166000.0,10300,8,2,4,QUARTERLY,HIGH,WEALTH_CREATION,71.0,HIGH,0.3973429951690821,0.4101449275362319,0.1492753623188406,0.20048309178743962
43,36000.0,15100.0,13800.0,324000,27000.0,7100,2,5,4,RARELY,HIGH,SHORT_TERM_GOAL,74.0,MEDIUM,0.75,0.41944444444444445,0.19722222222222222,0.0625
38,42000.0,28100.0,7000.0,441000,77000.0,6900,10,3,3,LUMP_SUM,LOW,WEALTH_CREATION,64.0,HIGH,0.875,0.669047619047619,0.16428571428571428,0.1527777777777778
27,36000.0,22900.0,7900.0,1139000,616000.0,5200,12,4,1,LUMP_SUM,MEDIUM,SHORT_TERM_GOAL,65.0,HIGH,2.636574074074074,0.6361111111111111,0.14444444444444443,1.4259259259259258
30,105000.0,67400.0,11600.0,1413000,148000.0,26000,7,3,1,MONTHLY,MEDIUM,WEALTH_CREATION,67.0,HIGH,1.1214285714285714,0.6419047619047619,0.24761904761904763,0.11746031746031746
54,69000.0,13800.0,49400.0,102000,16000.0,5800,2,2,3,MONTHLY,MEDIUM,RETIREMENT,63.0,HIGH,0.12318840579710146,0.2,0.08405797101449275,0.01932367149758454
40,131000.0,118300.0,0.0,2200000,454000.0,25500,8,1,3,QUARTERLY,LOW,WEALTH_CREATION,59.0,HIGH,1.3994910941475827,0.9030534351145039,0.1946564885496183,0.28880407124681934
27,107000.0,81700.0,23000.0,1513000,546000.0,2300,9,2,4,MONTHLY,HIGH,EMERGENCY_FUND,61.0,HIGH,1.178348909657321,0.7635514018691589,0.02149532710280374,0.4252336448598131
25,57000.0,40400.0,0.0,1356000,323000.0,31300,8,2,4,RARELY,HIGH,RETIREMENT,46.0,HIGH,1.9824561403508771,0.7087719298245614,0.5491228070175439,0.4722222222222222
31,170000.0,71800.0,58800.0,1002000,311000.0,39400,17,4,1,MONTHLY,LOW,RETIREMENT,72.0,HIGH,0.49117647058823527,0.4223529411764706,0.23176470588235293,0.15245098039215688
42,55000.0,26100.0,14300.0,193000,35000.0,14600,15,1,2,MONTHLY,LOW,WEALTH_CREATION,63.0,HIGH,0.2924242424242424,0.47454545454545455,0.26545454545454544,0.05303030303030303
35,130000.0,77300.0,31400.0,243000,117000.0,21300,7,2,3,MONTHLY,MEDIUM,RETIREMENT,73.0,HIGH,0.15576923076923077,0.5946153846153847,0.16384615384615384,0.075
56,20000.0,4200.0,15300.0,58000,18000.0,500,4,5,1,QUARTERLY,MEDIUM,RETIREMENT,63.0,HIGH,0.24166666666666667,0.21,0.025,0.075
35,48000.0,16700.0,11600.0,388000,41000.0,19700,14,3,4,MONTHLY,MEDIUM,WEALTH_CREATION,79.0,HIGH,0.6736111111111112,0.34791666666666665,0.41041666666666665,0.07118055555555555
23,40000.0,24300.0,14100.0,428000,221000.0,1600,18,3,1,MONTHLY,MEDIUM,TAX_SAVING,67.0,HIGH,0.8916666666666667,0.6075,0.04,0.46041666666666664
44,141000.0,56700.0,75600.0,109000,23000.0,8700,5,4,1,MONTHLY,MEDIUM,RETIREMENT,72.0,HIGH,0.0644208037825059,0.4021276595744681,0.06170212765957447,0.013593380614657211
31,62000.0,39900.0,12300.0,864000,275000.0,9800,7,4,3,RARELY,MEDIUM,WEALTH_CREATION,77.0,HIGH,1.1612903225806452,0.6435483870967742,0.15806451612903225,0.3696236559139785
27,76000.0,53500.0,8700.0,93000,18000.0,13800,7,5,3,MONTHLY,HIGH,EMERGENCY_FUND,74.0,LOW,0.10197368421052631,0.7039473684210527,0.18157894736842106,0.019736842105263157
36,29000.0,17600.0,800.0,171000,70000.0,10600,6,2,2,MONTHLY,MEDIUM,WEALTH_CREATION,57.0,MEDIUM,0.49137931034482757,0.6068965517241379,0.36551724137931035,0.20114942528735633
39,57000.0,32400.0,8500.0,291000,51000.0,16100,3,3,3,MONTHLY,HIGH,EMERGENCY_FUND,75.0,MEDIUM,0.42543859649122806,0.5684210526315789,0.2824561403508772,0.07456140350877193
39,135000.0,56800.0,67700.0,658000,337000.0,10500,22,3,2,MONTHLY,HIGH,EMERGENCY_FUND,56.0,MEDIUM,0.40617283950617283,0.42074074074074075,0.07777777777777778,0.2080246913580247
65,38000.0,20700.0,13100.0,50000,1000.0,4200,11,2,5,MONTHLY,MEDIUM,EMERGENCY_FUND,87.0,MEDIUM,0.10964912280701754,0.5447368421052632,0.11052631578947368,0.0021929824561403508
47,57000.0,29000.0,11100.0,1261000,276000.0,16900,5,5,3,MONTHLY,HIGH,WEALTH_CREATION,100.0,HIGH,1.8435672514619883,0.5087719298245614,0.2964912280701754,0.40350877192982454
54,157000.0,100700.0,33600.0,355000,94000.0,22700,13,1,2,QUARTERLY,MEDIUM,TAX_SAVING,46.0,MEDIUM,0.18842887473460723,0.6414012738853503,0.1445859872611465,0.049893842887473464
59,118000.0,85700.0,0.0,4234000,867000.0,35000,8,1,2,MONTHLY,MEDIUM,RETIREMENT,47.0,HIGH,2.9901129943502824,0.726271186440678,0.2966101694915254,0.6122881355932204
24,41000.0,25400.0,9800.0,683000,258000.0,5800,23,1,3,LUMP_SUM,MEDIUM,SHORT_TERM_GOAL,46.0,HIGH,1.3882113821138211,0.6195121951219512,0.14146341463414633,0.524390243902439
53,129000.0,51200.0,71900.0,1101000,240000.0,5900,6,1,2,MONTHLY,HIGH,EMERGENCY_FUND,30.0,MEDIUM,0.7112403100775194,0.39689922480620154,0.04573643410852713,0.15503875968992248
51,36000.0,23500.0,9700.0,375000,63000.0,2800,11,1,2,QUARTERLY,MEDIUM,WEALTH_CREATION,37.0,HIGH,0.8680555555555556,0.6527777777777778,0.07777777777777778,0.14583333333333334
44,33000.0,22100.0,0.0,478000,127000.0,15600,9,3,3,MONTHLY,HIGH,EMERGENCY_FUND,70.0,MEDIUM,1.207070707070707,0.6696969696969697,0.4727272727272727,0.3207070707070707
56,106000.0,24500.0,73400.0,127000,59000.0,8100,20,3,2,LUMP_SUM,HIGH,EMERGENCY_FUND,42.0,MEDIUM,0.09984276729559749,0.23113207547169812,0.07641509433962264,0.046383647798742135
51,65000.0,36700.0,15100.0,1187000,463000.0,13200,19,5,3,RARELY,HIGH,RETIREMENT,77.0,HIGH,1.5217948717948717,0.5646153846153846,0.20307692307692307,0.5935897435897436
28,35000.0,21800.0,11800.0,581000,333000.0,1400,10,3,4,QUARTERLY,HIGH,WEALTH_CREATION,73.0,HIGH,1.3833333333333333,0.6228571428571429,0.04,0.7928571428571428
39,104000.0,42300.0,16700.0,1047000,742000.0,45000,1,1,1,LUMP_SUM,HIGH,EMERGENCY_FUND,38.0,LOW,0.8389423076923077,0.40673076923076923,0.4326923076923077,0.594551282051282
38,26000.0,16100.0,3000.0,549000,302000.0,6900,4,2,2,RARELY,LOW,TAX_SAVING,61.0,HIGH,1.7596153846153846,0.6192307692307693,0.2653846153846154,0.967948717948718
53,92000.0,48600.0,24800.0,736000,293000.0,18600,1,3,3,RARELY,MEDIUM,SHORT_TERM_GOAL,73.0,MEDIUM,0.6666666666666666,0.5282608695652173,0.20217391304347826,0.2653985507246377
64,112000.0,100800.0,0.0,545000,239000.0,18900,11,2,3,QUARTERLY,LOW,SHORT_TERM_GOAL,80.0,MEDIUM,0.4055059523809524,0.9,0.16875,0.17782738095238096
59,41000.0,18600.0,8300.0,619000,257000.0,14100,6,1,3,QUARTERLY,MEDIUM,WEALTH_CREATION,54.0,HIGH,1.258130081300813,0.45365853658536587,0.3439024390243902,0.5223577235772358
52,84000.0,57000.0,17600.0,166000,64000.0,9400,17,2,1,RARELY,LOW,EMERGENCY_FUND,58.0,MEDIUM,0.16468253968253968,0.6785714285714286,0.11190476190476191,0.06349206349206349
35,33000.0,21400.0,1700.0,697000,110000.0,9900,17,4,3,RARELY,HIGH,WEALTH_CREATION,69.0,HIGH,1.7601010101010102,0.6484848484848484,0.3,0.2777777777777778
65,76000.0,61200.0,0.0,1488000,341000.0,33000,14,1,4,MONTHLY,LOW,SHORT_TERM_GOAL,64.0,HIGH,1.631578947368421,0.8052631578947368,0.4342105263157895,0.37390350877192985
35,31000.0,28400.0,0.0,342000,43000.0,5900,7,1,2,QUARTERLY,MEDIUM,WEALTH_CREATION,43.0,HIGH,0.9193548387096774,0.9161290322580645,0.19032258064516128,0.11559139784946236
29,47000.0,26700.0,14300.0,933000,386000.0,6000,11,1,1,RARELY,HIGH,TAX_SAVING,27.0,HIGH,1.6542553191489362,0.5680851063829787,0.1276595744680851,0.6843971631205674
42,37000.0,20700.0,4000.0,388000,32000.0,12300,12,2,1,LUMP_SUM,LOW,RETIREMENT,61.0,HIGH,0.8738738738738738,0.5594594594594594,0.3324324324324324,0.07207207207207207
34,92000.0,78500.0,0.0,533000,259000.0,15800,15,1,5,MONTHLY,MEDIUM,SHORT_TERM_GOAL,68.0,HIGH,0.48278985507246375,0.8532608695652174,0.17173913043478262,0.2346014492753623
50,33000.0,15800.0,3200.0,247000,67000.0,14000,7,1,4,LUMP_SUM,HIGH,WEALTH_CREATION,47.0,LOW,0.6237373737373737,0.47878787878787876,0.42424242424242425,0.1691919191919192
52,42000.0,34700.0,0.0,1205000,78000.0,10500,12,4,4,MONTHLY,MEDIUM,WEALTH_CREATION,86.0,HIGH,2.390873015873016,0.8261904761904761,0.25,0.15476190476190477
48,71000.0,50900.0,16500.0,949000,313000.0,3600,5,5,4,RARELY,LOW,RETIREMENT,91.0,HIGH,1.113849765258216,0.7169014084507043,0.05070422535211268,0.3673708920187793
52,43000.0,28400.0,11800.0,709000,111000.0,2800,9,1,4,MONTHLY,HIGH,RETIREMENT,64.0,HIGH,1.374031007751938,0.6604651162790698,0.06511627906976744,0.21511627906976744
56,209000.0,146900.0,0.0,2366000,888000.0,96800,14,4,2,RARELY,LOW,WEALTH_CREATION,78.0,HIGH,0.9433811802232854,0.7028708133971292,0.4631578947368421,0.35406698564593303
32,29000.0,20600.0,5000.0,438000,23000.0,3400,15,2,1,MONTHLY,LOW,SHORT_TERM_GOAL,60.0,HIGH,1.2586206896551724,0.7103448275862069,0.11724137931034483,0.06609195402298851
64,87000.0,40000.0,26700.0,663000,198000.0,20300,13,4,2,RARELY,LOW,TAX_SAVING,81.0,HIGH,0.6350574712643678,0.45977011494252873,0.23333333333333334,0.1896551724137931
52,56000.0,43700.0,1700.0,950000,442000.0,10600,14,5,1,QUARTERLY,MEDIUM,WEALTH_CREATION,65.0,HIGH,1.4136904761904763,0.7803571428571429,0.18928571428571428,0.6577380952380952
29,31000.0,28200.0,100.0,211000,12000.0,2700,15,2,4,RARELY,HIGH,EMERGENCY_FUND,57.0,MEDIUM,0.5672043010752689,0.9096774193548387,0.08709677419354839,0.03225806451612903
63,20000.0,13100.0,2100.0,401000,106000.0,4800,7,2,2,MONTHLY,MEDIUM,EMERGENCY_FUND,52.0,HIGH,1.6708333333333334,0.655,0.24,0.44166666666666665
31,81000.0,39100.0,28800.0,1539000,514000.0,13100,11,1,4,LUMP_SUM,HIGH,WEALTH_CREATION,41.0,HIGH,1.5833333333333333,0.48271604938271606,0.1617283950617284,0.5288065843621399
42,54000.0,31500.0,11200.0,108000,29000.0,11300,6,5,4,RARELY,HIGH,WEALTH_CREATION,83.0,HIGH,0.16666666666666666,0.5833333333333334,0.20925925925925926,0.044753086419753084
33,145000.0,86200.0,46100.0,2171000,1066000.0,12700,4,1,3,LUMP_SUM,MEDIUM,WEALTH_CREATION,65.0,HIGH,1.2477011494252874,0.5944827586206897,0.08758620689655172,0.6126436781609196
49,94000.0,52300.0,0.0,5263000,2119000.0,47000,3,3,3,MONTHLY,HIGH,RETIREMENT,53.0,HIGH,4.665780141843972,0.5563829787234043,0.5,1.87854609929078
62,78000.0,61600.0,0.0,543000,98000.0,16800,1,4,4,MONTHLY,LOW,WEALTH_CREATION,99.0,HIGH,0.5801282051282052,0.7897435897435897,0.2153846153846154,0.1047008547008547
26,40000.0,22100.0,13300.0,335000,57000.0,4600,7,3,2,RARELY,HIGH,SHORT_TERM_GOAL,59.0,LOW,0.6979166666666666,0.5525,0.115,0.11875
36,33000.0,23400.0,3800.0,728000,178000.0,5800,1,3,1,RARELY,MEDIUM,RETIREMENT,40.0,HIGH,1.8383838383838385,0.7090909090909091,0.17575757575757575,0.4494949494949495
50,62000.0,37300.0,16600.0,596000,55000.0,8100,10,4,1,RARELY,MEDIUM,EMERGENCY_FUND,55.0,MEDIUM,0.8010752688172043,0.6016129032258064,0.13064516129032258,0.0739247311827957
23,37000.0,21100.0,8600.0,592000,225000.0,7300,19,4,3,MONTHLY,MEDIUM,WEALTH_CREATION,66.0,HIGH,1.3333333333333333,0.5702702702702702,0.1972972972972973,0.5067567567567568
40,87000.0,43200.0,32300.0,1118000,114000.0,11500,5,2,2,RARELY,HIGH,WEALTH_CREATION,26.0,MEDIUM,1.0708812260536398,0.496551724137931,0.13218390804597702,0.10919540229885058
50,52000.0,24900.0,18000.0,756000,292000.0,9100,20,5,4,QUARTERLY,MEDIUM,SHORT_TERM_GOAL,79.0,HIGH,1.2115384615384615,0.47884615384615387,0.175,0.46794871794871795
22,46000.0,28300.0,10100.0,1385000,161000.0,7600,18,1,1,RARELY,MEDIUM,RETIREMENT,35.0,HIGH,2.5090579710144927,0.6152173913043478,0.16521739130434782,0.2916666666666667
59,95000.0,59600.0,18700.0,393000,144000.0,16700,3,1,1,RARELY,MEDIUM,RETIREMENT,52.0,MEDIUM,0.3447368421052632,0.6273684210526316,0.17578947368421052,0.12631578947368421
41,28000.0,24100.0,0.0,343000,76000.0,4700,18,1,5,MONTHLY,MEDIUM,RETIREMENT,81.0,HIGH,1.0208333333333333,0.8607142857142858,0.16785714285714284,0.2261904761904762
52,150000.0,67900.0,40000.0,1146000,79000.0,42100,16,1,3,MONTHLY,HIGH,SHORT_TERM_GOAL,46.0,LOW,0.6366666666666667,0.45266666666666666,0.2806666666666667,0.04388888888888889
27,66000.0,29800.0,27800.0,1181000,61000.0,8400,20,1,2,LUMP_SUM,HIGH,WEALTH_CREATION,35.0,HIGH,1.4911616161616161,0.45151515151515154,0.12727272727272726,0.07702020202020202
50,47000.0,21700.0,6200.0,1897000,1125000.0,19100,6,1,2,MONTHLY,MEDIUM,SHORT_TERM_GOAL,67.0,HIGH,3.3634751773049647,0.46170212765957447,0.40638297872340423,1.9946808510638299
43,106000.0,56600.0,39700.0,1667000,492000.0,9700,7,2,3,MONTHLY,HIGH,RETIREMENT,63.0,HIGH,1.3105345911949686,0.5339622641509434,0.09150943396226414,0.3867924528301887
34,67000.0,38100.0,2400.0,980000,536000.0,26500,16,2,4,MONTHLY,MEDIUM,EMERGENCY_FUND,86.0,HIGH,1.2189054726368158,0.5686567164179105,0.39552238805970147,0.6666666666666666
29,34000.0,17400.0,4100.0,340000,176000.0,12500,4,3,1,MONTHLY,HIGH,SHORT_TERM_GOAL,64.0,LOW,0.8333333333333334,0.5117647058823529,0.36764705882352944,0.43137254901960786
64,64000.0,47900.0,0.0,332000,73000.0,21800,5,2,5,RARELY,MEDIUM,RETIREMENT,50.0,MEDIUM,0.4322916666666667,0.7484375,0.340625,0.09505208333333333
